slug	file	source	commit	sha256
ulam-flower	ulam-flower.wat	https://github.com/pmarreck/ulam-flower-wat	30cc41b4fa6e12b2b691d8eecc9ef490d252d937	21952a212febf96d102be1ab31424641a7db4fa4255688f19dc55dadae5d0dd7
vibesteroids	vibesteroids.wat	https://github.com/pmarreck/vibesteroids_wat	d810415e800eb8ae8c077d3e4b18f7ce7af7a506	854e2fc1a6c084a2f45a409946929468fdc3c642bde12940851f0e8bd8719292
vibesteroids-package	vibesteroids.aed	https://github.com/pmarreck/vibesteroids_wat	d810415e800eb8ae8c077d3e4b18f7ce7af7a506	0a67be8c46c48a5a22f954f6b2bcad5e05319c19e4b71fc70379a6de566406c0
spring-sim	spring_sim.aed	https://github.com/pmarreck/spring_sim_aed	6e89c4a0d9993540c0f0577b16565c73dccf5438	ce2b757e108737ca45fbc2a809d9444ea32327591c462511634fcbd502291ae3
